graph_number,k5_minor,k33_minor
5048,"{0: [2, 11], 1: [9], 2: [3, 8], 3: [6, 10], 4: [5, 7]}","{0: [0], 1: [9], 2: [8], 3: [11], 4: [10], 5: [3]}"
5049,"{0: [11], 1: [2, 5], 2: [6, 7], 3: [8], 4: [9, 10]}","{0: [2, 5, 6], 1: [0], 2: [8], 3: [11], 4: [10], 5: [3, 9]}"
5050,"{0: [6, 8, 10], 1: [1, 4], 2: [9], 3: [11], 4: [0, 2, 3, 5, 7]}","{0: [7], 1: [0, 3, 4, 5], 2: [2, 8, 11], 3: [6], 4: [10], 5: [9]}"
5051,"{0: [11], 1: [2, 9], 2: [4, 5], 3: [6, 8, 10], 4: [3, 7]}","{0: [11], 1: [10], 2: [2, 3, 4, 5, 8, 9], 3: [1], 4: [6], 5: [0]}"
5052,"{0: [2, 3], 1: [6, 8, 9], 2: [0, 5, 10, 11], 3: [7], 4: [1, 4]}","{0: [7], 1: [1, 4, 6, 8], 2: [5], 3: [9], 4: [10], 5: [0, 3, 11]}"
5053,"{0: [0, 10], 1: [5], 2: [2, 3], 3: [4, 8, 9], 4: [11]}","{0: [5], 1: [2, 4, 8], 2: [0], 3: [11], 4: [3], 5: [9, 10]}"
5054,"{0: [4, 11], 1: [2, 8], 2: [5, 6, 7, 9], 3: [1, 10], 4: [0, 3]}","{0: [11], 1: [1, 10], 2: [7], 3: [6], 4: [9], 5: [4]}"
5055,"{0: [11], 1: [7, 10], 2: [3, 4, 6], 3: [8], 4: [5, 9]}","{0: [1, 7, 8, 10], 1: [4], 2: [9], 3: [11], 4: [2], 5: [3, 6]}"
5056,"{0: [6, 7], 1: [5, 10], 2: [2, 11], 3: [9], 4: [8]}","{0: [2, 9], 1: [7, 11], 2: [0, 1, 10], 3: [8], 4: [6], 5: [4]}"
5057,"{0: [11], 1: [2, 3, 6, 9], 2: [7], 3: [0, 10], 4: [1, 4]}","{0: [0], 1: [6], 2: [8], 3: [9, 11], 4: [2, 4, 10], 5: [3]}"
5058,"{0: [0, 4, 11], 1: [3, 7, 8], 2: [9], 3: [5, 10], 4: [1, 6]}","{0: [10], 1: [8], 2: [4, 6, 11], 3: [5], 4: [3, 7], 5: [2]}"
5059,"{0: [6, 8], 1: [1, 9], 2: [5, 11], 3: [10], 4: [2]}","{0: [0], 1: [2], 2: [5], 3: [9, 11], 4: [3, 7, 8], 5: [1, 6, 10]}"
5060,"{0: [9], 1: [4, 8], 2: [2, 10], 3: [7, 11], 4: [5, 6]}","{0: [1], 1: [2, 8, 9], 2: [0], 3: [10], 4: [3, 6], 5: [11]}"
5061,"{0: [5, 7], 1: [4, 9], 2: [0, 6, 11], 3: [2, 10], 4: [8]}","{0: [1, 5, 10], 1: [2, 8], 2: [0, 3, 6, 9], 3: [4], 4: [7], 5: [11]}"
5062,"{0: [4, 7], 1: [8, 11], 2: [5, 9], 3: [2, 6], 4: [1, 10]}","{0: [0], 1: [2, 5, 6], 2: [1], 3: [3], 4: [9, 11], 5: [10]}"
5063,"{0: [1, 3, 5], 1: [10], 2: [0, 7, 11], 3: [8], 4: [2, 6, 9]}","{0: [0, 7, 11], 1: [1, 10], 2: [6, 9], 3: [2], 4: [3, 5], 5: [8]}"
5064,"{0: [8], 1: [2, 9], 2: [1, 11], 3: [4, 10], 4: [5, 6, 7]}","{0: [2], 1: [0, 4, 10], 2: [8], 3: [9], 4: [6, 7], 5: [1, 11]}"
5065,"{0: [4, 6], 1: [8], 2: [11], 3: [1, 2, 3, 9, 10], 4: [5, 7]}","{0: [6], 1: [5], 2: [2], 3: [3, 9, 10], 4: [7, 11], 5: [4]}"
5066,"{0: [3, 6], 1: [2, 4], 2: [7, 8], 3: [5, 9], 4: [1, 10, 11]}","{0: [2], 1: [8], 2: [1, 5, 7, 10], 3: [11], 4: [3, 6], 5: [4, 9]}"
5067,"{0: [7], 1: [11], 2: [5], 3: [1, 10], 4: [4, 8, 9]}","{0: [1], 1: [0], 2: [2, 6], 3: [3], 4: [10], 5: [11]}"
5068,"{0: [8], 1: [2, 5, 9], 2: [0, 3, 11], 3: [7], 4: [4, 6, 10]}","{0: [1, 3, 6, 7, 8], 1: [0, 11], 2: [5], 3: [2, 4], 4: [10], 5: [9]}"
5069,"{0: [9], 1: [4], 2: [8], 3: [7], 4: [1, 2, 3, 5, 6, 10]}","{0: [7, 9], 1: [1], 2: [0], 3: [10], 4: [11], 5: [3]}"
5070,"{0: [1, 3], 1: [7, 8], 2: [0, 6, 11], 3: [9, 10], 4: [2, 4]}","{0: [2, 4, 7], 1: [6], 2: [5], 3: [9], 4: [10], 5: [3, 8, 11]}"
5071,"{0: [4, 7, 11], 1: [2, 6], 2: [1, 10], 3: [9], 4: [5]}","{0: [2, 4], 1: [8], 2: [1, 5, 9, 10], 3: [11], 4: [7], 5: [3]}"
5072,"{0: [0, 11], 1: [8], 2: [5], 3: [7, 10], 4: [1, 6, 9]}","{0: [5, 11], 1: [6, 9], 2: [3], 3: [4, 7], 4: [2, 10], 5: [1]}"
5073,"{0: [1, 3, 4, 9, 10], 1: [6], 2: [5], 3: [7, 11], 4: [8]}","{0: [2, 5, 10], 1: [1, 9], 2: [6], 3: [3], 4: [8], 5: [4, 11]}"
5074,"{0: [5, 10], 1: [4, 11], 2: [9], 3: [6, 8], 4: [2, 3, 7]}","{0: [10], 1: [3], 2: [11], 3: [2, 7], 4: [5], 5: [0]}"
5075,"{0: [7], 1: [8], 2: [0, 3, 6, 9], 3: [11], 4: [5, 10]}","{0: [5], 1: [7], 2: [6, 9], 3: [8], 4: [10], 5: [11]}"
5076,"{0: [6], 1: [2, 4, 5, 8], 2: [1, 7], 3: [0, 3, 10], 4: [9, 11]}","{0: [0], 1: [8], 2: [1], 3: [7, 10], 4: [2, 3], 5: [4, 5, 6, 11]}"
5077,"{0: [7, 10], 1: [1, 6], 2: [2, 4, 5], 3: [11], 4: [8, 9]}","{0: [6], 1: [0, 7, 8, 11], 2: [4], 3: [9], 4: [5, 10], 5: [2]}"
5078,"{0: [0, 2, 3], 1: [5, 9, 11], 2: [1, 6], 3: [10], 4: [7, 8]}","{0: [2], 1: [4], 2: [0, 5, 10], 3: [1, 6, 7, 8, 11], 4: [3], 5: [9]}"
5079,"{0: [6, 8, 10], 1: [1, 5, 7], 2: [0, 9, 11], 3: [2, 3], 4: [4]}","{0: [3], 1: [0, 11], 2: [5], 3: [6, 7, 8, 9, 10], 4: [1], 5: [2, 4]}"
5080,"{0: [6, 10, 11], 1: [2, 5, 7], 2: [9], 3: [3, 8], 4: [1, 4]}","{0: [2, 9], 1: [8], 2: [0, 6, 10], 3: [11], 4: [7], 5: [3]}"
5081,"{0: [1, 2, 4], 1: [5, 9, 11], 2: [0, 7, 10], 3: [6], 4: [3]}","{0: [6], 1: [9], 2: [0, 4, 8, 10], 3: [7], 4: [2], 5: [3]}"
5082,"{0: [5, 8], 1: [6, 9, 11], 2: [0, 10], 3: [1, 2, 4], 4: [3]}","{0: [5, 6, 8], 1: [11], 2: [1, 4], 3: [7, 10], 4: [2], 5: [3, 9]}"
5083,"{0: [1, 4], 1: [11], 2: [0, 3, 5, 6, 10], 3: [8], 4: [7, 9]}","{0: [7, 8, 9], 1: [1], 2: [0], 3: [4, 11], 4: [10], 5: [3]}"
5084,"{0: [9, 10, 11], 1: [5, 6], 2: [1, 2, 3], 3: [8], 4: [4, 7]}","{0: [1, 2, 4, 7, 9], 1: [0, 6, 10], 2: [8], 3: [5], 4: [11], 5: [3]}"
5085,"{0: [6, 8], 1: [7, 9], 2: [10], 3: [1, 11], 4: [2, 4, 5]}","{0: [1, 9, 11], 1: [7], 2: [0, 4, 10], 3: [8], 4: [6], 5: [2, 5]}"
5086,"{0: [1, 3, 8, 9], 1: [2, 5], 2: [6], 3: [4, 10], 4: [0, 11]}","{0: [4], 1: [0], 2: [7], 3: [10], 4: [5, 11], 5: [3, 8, 9]}"
5087,"{0: [10], 1: [4, 6], 2: [5, 8, 11], 3: [0, 2, 3], 4: [1, 7, 9]}","{0: [2, 3, 6], 1: [5, 11], 2: [0, 7, 9, 10], 3: [1], 4: [8], 5: [4]}"
5088,"{0: [5, 11], 1: [2, 8, 10], 2: [9], 3: [7], 4: [3, 4, 6]}","{0: [7], 1: [0, 3], 2: [2, 8, 10], 3: [1, 11], 4: [6, 9], 5: [4, 5]}"
5089,"{0: [6], 1: [7], 2: [1, 4, 11], 3: [8, 9], 4: [10]}","{0: [2], 1: [6], 2: [0, 3], 3: [5, 7, 8, 10], 4: [4, 9], 5: [1, 11]}"
5090,"{0: [9], 1: [0, 3, 10], 2: [4, 11], 3: [7, 8], 4: [6]}","{0: [1, 2], 1: [0], 2: [4], 3: [3, 5], 4: [11], 5: [9, 10]}"
5091,"{0: [4, 6], 1: [3, 9], 2: [7], 3: [0, 11], 4: [8, 10]}","{0: [11], 1: [3, 8, 9], 2: [10], 3: [0], 4: [7], 5: [5]}"
5092,"{0: [5, 11], 1: [3, 7], 2: [0, 10], 3: [1, 8], 4: [4, 9]}","{0: [6], 1: [2, 5, 9], 2: [7, 8], 3: [10], 4: [4], 5: [11]}"
5093,"{0: [6, 10], 1: [11], 2: [9], 3: [4, 5], 4: [3, 7, 8]}","{0: [1, 8], 1: [0], 2: [9], 3: [10], 4: [3, 7], 5: [4, 5, 11]}"
5094,"{0: [2, 4], 1: [1, 7, 11], 2: [6, 8], 3: [5, 9], 4: [0, 3, 10]}","{0: [9], 1: [2], 2: [0], 3: [11], 4: [1, 3, 8], 5: [10]}"
5095,"{0: [4], 1: [6, 11], 2: [9], 3: [1, 7, 8], 4: [10]}","{0: [2, 11], 1: [6, 10], 2: [3, 4, 5, 9], 3: [7], 4: [0], 5: [1, 8]}"
5096,"{0: [6], 1: [10], 2: [9, 11], 3: [0, 3, 7], 4: [5, 8]}","{0: [5, 9], 1: [6], 2: [4], 3: [3, 7, 11], 4: [10], 5: [1, 2, 8]}"
5097,"{0: [5, 9], 1: [1, 2, 8], 2: [0, 4, 10], 3: [7, 11], 4: [3, 6]}","{0: [6], 1: [9], 2: [8], 3: [3, 5, 10], 4: [1, 2, 4], 5: [7, 11]}"
5098,"{0: [8], 1: [0, 10], 2: [1, 7, 9], 3: [11], 4: [6]}","{0: [11], 1: [9], 2: [6], 3: [4, 10], 4: [7], 5: [1, 8]}"
5099,"{0: [3, 4, 11], 1: [5], 2: [1, 7, 8, 9], 3: [2, 10], 4: [6]}","{0: [1, 2, 7], 1: [8], 2: [0, 5, 11], 3: [6], 4: [10], 5: [9]}"
5100,"{0: [2, 5], 1: [1, 7], 2: [11], 3: [0, 4, 6, 10], 4: [3, 8, 9]}","{0: [7], 1: [0, 6, 11], 2: [2], 3: [5], 4: [1], 5: [3, 9]}"
5101,"{0: [11], 1: [0, 4, 8, 10], 2: [9], 3: [1, 2, 7], 4: [3, 5]}","{0: [6], 1: [5, 8], 2: [0], 3: [2, 3], 4: [1, 7, 10], 5: [11]}"
5102,"{0: [0, 3, 4, 5, 9], 1: [8], 2: [11], 3: [6, 10], 4: [1, 7]}","{0: [0, 5, 9, 10], 1: [1, 2, 7], 2: [8], 3: [6], 4: [11], 5: [3]}"
5103,"{0: [1, 2], 1: [3, 6, 7], 2: [0, 11], 3: [10], 4: [8, 9]}","{0: [7], 1: [0], 2: [4], 3: [11], 4: [8, 9, 10], 5: [3, 6]}"
5104,"{0: [4, 11], 1: [8], 2: [5, 6, 9], 3: [1, 2], 4: [10]}","{0: [2, 4], 1: [0, 9, 10], 2: [7], 3: [8], 4: [3], 5: [11]}"
5105,"{0: [1, 2], 1: [10], 2: [0, 3, 5], 3: [6, 7, 11], 4: [9]}","{0: [1, 6, 7, 9], 1: [0], 2: [2, 5], 3: [10], 4: [3], 5: [8, 11]}"
5106,"{0: [6], 1: [2, 10], 2: [9], 3: [7, 8], 4: [3, 4, 5, 11]}","{0: [10], 1: [0, 1, 11], 2: [9], 3: [2], 4: [6], 5: [5]}"
5107,"{0: [9, 10], 1: [0, 11], 2: [1, 2], 3: [7, 8], 4: [5, 6]}","{0: [1], 1: [0, 7, 8, 10], 2: [6, 9], 3: [11], 4: [2], 5: [5]}"
5108,"{0: [8, 10], 1: [11], 2: [0, 3], 3: [1, 2, 4, 5], 4: [6, 7, 9]}","{0: [7], 1: [8], 2: [9], 3: [10], 4: [6], 5: [11]}"
5109,"{0: [1, 5], 1: [8, 9], 2: [2, 6], 3: [0, 10], 4: [4, 11]}","{0: [7], 1: [0], 2: [5], 3: [11], 4: [1, 6, 10], 5: [3]}"
5110,"{0: [4], 1: [10], 2: [6], 3: [0, 3, 11], 4: [5, 7, 8, 9]}","{0: [2], 1: [0, 4, 10], 2: [5], 3: [1], 4: [3, 7], 5: [11]}"
5111,"{0: [6, 7, 10], 1: [8], 2: [1, 2], 3: [3, 4, 5], 4: [9, 11]}","{0: [6, 9], 1: [0], 2: [8], 3: [3, 4], 4: [11], 5: [5, 7, 10]}"
5112,"{0: [6, 8], 1: [10], 2: [1, 4, 11], 3: [7], 4: [5, 9]}","{0: [1, 2, 4], 1: [6], 2: [7], 3: [10], 4: [5, 8], 5: [0, 3, 9, 11]}"
5113,"{0: [1, 4], 1: [0, 3, 8], 2: [5, 11], 3: [2, 6], 4: [7, 10]}","{0: [8], 1: [2, 9], 2: [0, 1, 10], 3: [6], 4: [3], 5: [7, 11]}"
5114,"{0: [1, 2], 1: [5, 6, 9], 2: [7], 3: [4, 10], 4: [3, 8]}","{0: [5], 1: [0, 3], 2: [2], 3: [7], 4: [8], 5: [1, 9, 10, 11]}"
5115,"{0: [4], 1: [8, 9, 10], 2: [1, 2], 3: [6, 7], 4: [11]}","{0: [2, 7], 1: [5], 2: [1, 4, 10], 3: [11], 4: [6], 5: [3, 8, 9]}"
5116,"{0: [10], 1: [9, 11], 2: [6], 3: [1, 4, 5, 8], 4: [7]}","{0: [9], 1: [8], 2: [0], 3: [10], 4: [3], 5: [11]}"
5117,"{0: [1, 2, 4], 1: [7, 9], 2: [8, 10], 3: [11], 4: [3, 5]}","{0: [4], 1: [0, 3], 2: [7], 3: [9], 4: [11], 5: [5, 8, 10]}"
5118,"{0: [7], 1: [5, 6], 2: [8], 3: [1, 2, 3, 4, 10], 4: [9, 11]}","{0: [6, 7], 1: [0, 4, 11], 2: [1, 2, 8], 3: [10], 4: [3, 9], 5: [5]}"
5119,"{0: [5, 6, 10], 1: [2, 7], 2: [9], 3: [3, 4, 11], 4: [8]}","{0: [4], 1: [6], 2: [0], 3: [11], 4: [10], 5: [3, 7, 8]}"
5120,"{0: [4], 1: [7, 11], 2: [2, 6, 8, 10], 3: [9], 4: [1, 3]}","{0: [1], 1: [0], 2: [4, 9], 3: [3], 4: [2, 10], 5: [7, 8, 11]}"
5121,"{0: [5], 1: [0, 9, 10], 2: [11], 3: [7, 8], 4: [6]}","{0: [11], 1: [1, 3], 2: [8], 3: [4, 10], 4: [2], 5: [5, 6, 7, 9]}"
5122,"{0: [9, 11], 1: [1, 2], 2: [3, 7, 8], 3: [10], 4: [4, 5]}","{0: [7, 8, 9], 1: [2, 5], 2: [0], 3: [10], 4: [1, 3], 5: [11]}"
5123,"{0: [1, 2, 3], 1: [6, 11], 2: [5], 3: [7, 10], 4: [4, 8, 9]}","{0: [9], 1: [4, 6], 2: [0], 3: [1, 2, 10], 4: [11], 5: [3, 5, 8]}"
5124,"{0: [0, 1, 9, 10], 1: [2], 2: [5], 3: [11], 4: [3, 4]}","{0: [6, 7], 1: [0], 2: [2], 3: [1, 10], 4: [3, 4, 5], 5: [11]}"
5125,"{0: [1, 11], 1: [5], 2: [0, 3, 4, 6], 3: [7, 8, 10], 4: [9]}","{0: [0, 3], 1: [2], 2: [4, 5], 3: [6, 10, 11], 4: [7, 8], 5: [9]}"
5126,"{0: [3, 6, 10], 1: [8], 2: [1, 11], 3: [7], 4: [4]}","{0: [4], 1: [2], 2: [1], 3: [11], 4: [5, 9, 10], 5: [8]}"
5127,"{0: [3, 5], 1: [7, 8], 2: [2, 11], 3: [10], 4: [6]}","{0: [7, 11], 1: [0, 9], 2: [2, 5, 6], 3: [4, 10], 4: [1, 8], 5: [3]}"
5128,"{0: [6], 1: [10], 2: [5, 9, 11], 3: [2, 3, 4], 4: [7, 8]}","{0: [4], 1: [0, 3, 6], 2: [5], 3: [1, 7, 8, 10], 4: [9], 5: [2, 11]}"
5129,"{0: [7, 11], 1: [1, 6, 9, 10], 2: [2, 5, 8], 3: [4], 4: [0, 3]}","{0: [5], 1: [4], 2: [0, 10, 11], 3: [9], 4: [2, 8], 5: [3]}"
5130,"{0: [4, 10], 1: [6, 7], 2: [0, 2, 3, 5], 3: [8], 4: [1, 11]}","{0: [4], 1: [0, 3, 5], 2: [6], 3: [7, 9, 10], 4: [8], 5: [11]}"
5131,"{0: [2, 5, 11], 1: [4, 8], 2: [0, 9], 3: [7], 4: [1, 10]}","{0: [4], 1: [1], 2: [7], 3: [10], 4: [9], 5: [8]}"
5132,"{0: [1, 11], 1: [10], 2: [0, 3, 5], 3: [6], 4: [7, 9]}","{0: [10], 1: [1, 7, 8, 9], 2: [0, 11], 3: [2], 4: [6], 5: [5]}"
5133,"{0: [1, 7], 1: [8], 2: [2, 9], 3: [11], 4: [5, 10]}","{0: [2], 1: [8], 2: [1, 10], 3: [9], 4: [11], 5: [7]}"
5134,"{0: [1, 11], 1: [5, 7, 9], 2: [4, 6], 3: [8], 4: [10]}","{0: [1], 1: [8], 2: [5], 3: [7], 4: [10], 5: [11]}"
5135,"{0: [5], 1: [0, 3, 10], 2: [11], 3: [1, 9], 4: [2, 7, 8]}","{0: [5, 10], 1: [0, 3], 2: [4, 6], 3: [8], 4: [9], 5: [11]}"
5136,"{0: [6], 1: [2, 7], 2: [1, 9, 11], 3: [3, 4], 4: [8, 10]}","{0: [1], 1: [2], 2: [8], 3: [10, 11], 4: [7], 5: [3, 4, 6, 9]}"
5137,"{0: [2, 7], 1: [6], 2: [1, 4, 9], 3: [3, 5], 4: [8, 10]}","{0: [4, 10], 1: [1, 7], 2: [5], 3: [9], 4: [3, 6], 5: [2, 11]}"
5138,"{0: [0, 3, 5], 1: [6, 9], 2: [1, 2, 7], 3: [11], 4: [4, 8, 10]}","{0: [2], 1: [6], 2: [0, 1, 11], 3: [9], 4: [7], 5: [3, 5]}"
5139,"{0: [1, 7], 1: [11], 2: [5, 8, 9], 3: [10], 4: [6]}","{0: [1, 9], 1: [6], 2: [10], 3: [2, 4, 8], 4: [7], 5: [0, 3, 5, 11]}"
5140,"{0: [1, 7], 1: [10], 2: [4, 5, 6], 3: [0, 11], 4: [9]}","{0: [2], 1: [7, 8], 2: [0], 3: [3], 4: [11], 5: [5, 6, 9]}"
5141,"{0: [5], 1: [0, 11], 2: [4, 9], 3: [10], 4: [2, 3]}","{0: [3], 1: [6], 2: [11], 3: [2, 4, 9], 4: [1, 7, 10], 5: [8]}"
5142,"{0: [1, 5, 11], 1: [0, 3], 2: [2, 8], 3: [6, 7], 4: [9, 10]}","{0: [5], 1: [3, 6], 2: [0, 1, 2, 11], 3: [4, 9], 4: [8, 10], 5: [7]}"
5143,"{0: [10], 1: [1, 4, 7], 2: [5, 6, 8], 3: [3], 4: [0, 2, 9, 11]}","{0: [2, 4, 7], 1: [8], 2: [11], 3: [6, 9, 10], 4: [0, 3], 5: [1]}"
5144,"{0: [1, 2, 7, 9], 1: [6], 2: [10], 3: [5, 11], 4: [8]}","{0: [2, 7], 1: [0, 9, 10], 2: [5], 3: [6, 8, 11], 4: [4], 5: [3]}"
5145,"{0: [2, 11], 1: [4, 6], 2: [5, 7], 3: [8, 10], 4: [1, 9]}","{0: [10], 1: [0, 2, 9, 11], 2: [7], 3: [8], 4: [5], 5: [3]}"
5146,"{0: [0, 3, 4, 5, 9], 1: [8], 2: [7], 3: [10], 4: [11]}","{0: [2], 1: [8, 10], 2: [1], 3: [11], 4: [6], 5: [7, 9]}"
5147,"{0: [11], 1: [1, 6, 8], 2: [2, 4, 5], 3: [9, 10], 4: [7]}","{0: [2, 5, 10], 1: [0, 11], 2: [6], 3: [3], 4: [8], 5: [4]}"
5148,"{0: [5, 7], 1: [8, 10], 2: [0, 3], 3: [1, 11], 4: [9]}","{0: [7, 11], 1: [6], 2: [0, 9], 3: [3, 5, 10], 4: [4, 8], 5: [1]}"
5149,"{0: [8], 1: [11], 2: [2, 6, 7], 3: [5, 10], 4: [3, 4]}","{0: [0, 5, 9], 1: [4], 2: [7], 3: [2], 4: [6, 10], 5: [11]}"
5150,"{0: [3, 6], 1: [2, 10], 2: [4, 7, 8], 3: [5, 11], 4: [1, 9]}","{0: [4, 8], 1: [0], 2: [2, 6], 3: [3, 5], 4: [10, 11], 5: [1, 7, 9]}"
5151,"{0: [6], 1: [0, 3, 4, 5, 9], 2: [7], 3: [8, 11], 4: [10]}","{0: [6], 1: [0], 2: [4], 3: [9], 4: [3, 7, 8, 10], 5: [11]}"
5152,"{0: [10], 1: [1, 3, 5], 2: [6, 11], 3: [2, 9], 4: [7, 8]}","{0: [7, 10], 1: [1, 6, 11], 2: [0, 3], 3: [9], 4: [5], 5: [8]}"
5153,"{0: [10], 1: [0, 2, 4, 6, 9], 2: [5], 3: [1, 11], 4: [3, 8]}","{0: [7, 9], 1: [6, 11], 2: [5, 10], 3: [4], 4: [2], 5: [8]}"
5154,"{0: [7, 8], 1: [9], 2: [2, 10], 3: [0, 11], 4: [1, 5, 6]}","{0: [5], 1: [8], 2: [0, 7, 11], 3: [1, 9], 4: [6], 5: [3]}"
5155,"{0: [2, 5, 8], 1: [10], 2: [1, 3, 4, 6, 9], 3: [11], 4: [7]}","{0: [2], 1: [0, 9, 10], 2: [6], 3: [3, 4, 11], 4: [8], 5: [5]}"
5156,"{0: [8], 1: [0, 10, 11], 2: [7], 3: [2, 5], 4: [3, 4, 6, 9]}","{0: [5, 7], 1: [8], 2: [0, 4, 9, 10], 3: [2], 4: [11], 5: [3, 6]}"
5157,"{0: [7], 1: [3, 4], 2: [6, 8], 3: [11], 4: [5, 9, 10]}","{0: [1, 2, 5], 1: [0], 2: [4, 7, 8, 10], 3: [3, 6], 4: [9], 5: [11]}"
5158,"{0: [10], 1: [2, 9], 2: [5, 6, 8], 3: [0, 3], 4: [7, 11]}","{0: [3], 1: [2, 9], 2: [4, 5, 8, 11], 3: [0], 4: [7, 10], 5: [6]}"
5159,"{0: [3, 7, 10, 11], 1: [2, 4], 2: [5], 3: [8], 4: [1, 9]}","{0: [7, 11], 1: [9], 2: [5], 3: [1], 4: [2, 4], 5: [8, 10]}"
5160,"{0: [7], 1: [0, 6, 8, 9], 2: [1, 5], 3: [2, 4, 10], 4: [11]}","{0: [6], 1: [10], 2: [1, 5, 7, 11], 3: [2, 4], 4: [8], 5: [9]}"
5161,"{0: [2, 4], 1: [0, 7, 11], 2: [9], 3: [1, 5], 4: [8, 10]}","{0: [5], 1: [8, 10, 11], 2: [0, 9], 3: [3], 4: [2, 4], 5: [1]}"
5162,"{0: [11], 1: [0, 4, 9], 2: [5, 8], 3: [2, 3], 4: [7, 10]}","{0: [1], 1: [6], 2: [4], 3: [8, 11], 4: [9], 5: [5, 10]}"
5163,"{0: [4], 1: [7, 10], 2: [6], 3: [1, 5, 11], 4: [8, 9]}","{0: [7], 1: [0, 3], 2: [11], 3: [5], 4: [6, 8], 5: [4, 9, 10]}"
5164,"{0: [2, 7], 1: [3, 8], 2: [1, 4, 5, 6, 10], 3: [11], 4: [0, 9]}","{0: [0], 1: [4], 2: [1, 10], 3: [2, 9], 4: [5, 7, 11], 5: [3, 6, 8]}"
5165,"{0: [6], 1: [11], 2: [1, 7, 9], 3: [4, 8], 4: [10]}","{0: [7], 1: [11], 2: [0, 3, 4, 5], 3: [10], 4: [1, 6, 9], 5: [8]}"
5166,"{0: [3, 6], 1: [4, 8], 2: [11], 3: [2, 5, 10], 4: [7]}","{0: [4, 8], 1: [3, 6], 2: [2, 5], 3: [0, 9], 4: [7, 10], 5: [11]}"
5167,"{0: [6, 11], 1: [7, 8, 9], 2: [1, 2, 5], 3: [0, 3], 4: [10]}","{0: [2, 5], 1: [11], 2: [0, 9], 3: [7], 4: [3, 6], 5: [4]}"
5168,"{0: [10], 1: [0, 3, 8], 2: [2, 4], 3: [11], 4: [6, 7]}","{0: [6, 7], 1: [0, 3], 2: [5], 3: [4, 10], 4: [9], 5: [11]}"
5169,"{0: [11], 1: [2, 6, 7], 2: [1, 5, 9], 3: [4], 4: [8, 10]}","{0: [10], 1: [7, 9], 2: [1, 6], 3: [2, 3, 4, 5], 4: [8], 5: [11]}"
5170,"{0: [8], 1: [5, 7], 2: [6], 3: [0, 3, 11], 4: [4, 10]}","{0: [2], 1: [1], 2: [5], 3: [4, 7, 10], 4: [11], 5: [9]}"
5171,"{0: [6, 9], 1: [2, 5], 2: [7, 10], 3: [11], 4: [1, 4]}","{0: [4], 1: [9], 2: [0, 3], 3: [10], 4: [5], 5: [1, 11]}"
5172,"{0: [4, 7], 1: [5, 8], 2: [0, 2, 9, 10], 3: [3, 6], 4: [11]}","{0: [7, 10], 1: [6], 2: [2, 9], 3: [0, 3], 4: [11], 5: [5, 8]}"
5173,"{0: [6], 1: [7], 2: [1, 8, 9], 3: [10], 4: [11]}","{0: [8], 1: [7], 2: [0, 2, 11], 3: [10], 4: [6], 5: [9]}"
5174,"{0: [3, 6], 1: [5, 9, 10], 2: [7, 8], 3: [1, 4], 4: [0, 11]}","{0: [4, 7], 1: [0], 2: [5], 3: [11], 4: [1, 9], 5: [3, 6, 8, 10]}"
5175,"{0: [2, 4, 11], 1: [5, 6], 2: [0, 3], 3: [9], 4: [7, 10]}","{0: [4, 6], 1: [8], 2: [0], 3: [3, 5], 4: [1, 2, 7, 9], 5: [10, 11]}"
5176,"{0: [6, 9, 10], 1: [2, 8], 2: [3, 7], 3: [0, 11], 4: [1, 4]}","{0: [2, 3, 4], 1: [6], 2: [10], 3: [11], 4: [7], 5: [5, 8]}"
5177,"{0: [11], 1: [8, 10], 2: [6], 3: [0, 3, 7, 9], 4: [2, 5]}","{0: [2, 4, 7, 8], 1: [0, 11], 2: [5, 9, 10], 3: [1], 4: [6], 5: [3]}"
5178,"{0: [0, 3, 8, 9], 1: [1, 11], 2: [6, 10], 3: [2, 4, 5], 4: [7]}","{0: [0, 1, 11], 1: [6], 2: [5], 3: [2, 9], 4: [10], 5: [8]}"
5179,"{0: [11], 1: [5, 8], 2: [4, 6], 3: [0, 1, 9], 4: [2, 10]}","{0: [0], 1: [6], 2: [2], 3: [3], 4: [9, 10], 5: [1, 7, 11]}"
5180,"{0: [2, 8], 1: [6], 2: [4, 5, 9], 3: [10], 4: [7, 11]}","{0: [2, 11], 1: [3, 10], 2: [7, 8], 3: [1, 4, 5], 4: [6], 5: [9]}"
5181,"{0: [6, 9, 10], 1: [0, 3], 2: [1, 5, 8, 11], 3: [2, 4], 4: [7]}","{0: [5, 10], 1: [7], 2: [1, 11], 3: [2, 4, 6, 9], 4: [8], 5: [0, 3]}"
5182,"{0: [4, 7], 1: [2, 5], 2: [0, 3, 6, 8], 3: [11], 4: [1, 9, 10]}","{0: [11], 1: [0, 2, 3, 4, 7, 9], 2: [10], 3: [8], 4: [5], 5: [6]}"
5183,"{0: [11], 1: [0, 9], 2: [5, 7, 8], 3: [3, 4], 4: [2, 6, 10]}","{0: [11], 1: [2], 2: [0, 3, 9], 3: [6], 4: [4], 5: [5, 7, 10]}"
5184,"{0: [1, 4, 5, 6], 1: [2, 9], 2: [8], 3: [3, 10], 4: [0, 7, 11]}","{0: [2], 1: [10], 2: [1, 5, 7], 3: [9], 4: [3, 8], 5: [11]}"
