graph_number,k5_minor,k33_minor
98,"{0: [8], 1: [6], 2: [5], 3: [0], 4: [7, 9]}","{0: [3], 1: [0, 6], 2: [2], 3: [4], 4: [7], 5: [5, 8, 9]}"
99,"{0: [9], 1: [1], 2: [2, 4, 8], 3: [3, 5], 4: [0, 7]}","{0: [3], 1: [1], 2: [4], 3: [9], 4: [2, 6, 7, 8], 5: [5]}"
100,"{0: [9], 1: [0, 5], 2: [6], 3: [1], 4: [7, 8]}","{0: [8], 1: [9], 2: [0], 3: [6], 4: [7], 5: [5]}"
101,"{0: [8], 1: [4], 2: [7], 3: [1, 6], 4: [5, 9]}","{0: [9], 1: [0], 2: [8], 3: [6], 4: [7], 5: [5]}"
102,"{0: [6], 1: [3], 2: [5, 8], 3: [1, 9], 4: [7]}","{0: [0], 1: [8], 2: [9], 3: [6], 4: [7], 5: [5]}"
103,"{0: [7], 1: [0, 5], 2: [6], 3: [1, 3], 4: [9]}","{0: [2, 4], 1: [0, 7, 8], 2: [1, 9], 3: [5], 4: [6], 5: [3]}"
104,"{0: [4, 5], 1: [0, 7, 9], 2: [3, 6], 3: [2], 4: [8]}","{0: [2], 1: [5], 2: [0], 3: [4], 4: [9], 5: [8]}"
105,"{0: [1, 8], 1: [6], 2: [9], 3: [4, 7], 4: [3]}","{0: [0], 1: [7], 2: [5], 3: [4], 4: [9], 5: [8]}"
106,"{0: [0, 8], 1: [9], 2: [2], 3: [5], 4: [7]}","{0: [0], 1: [5], 2: [1], 3: [4], 4: [9], 5: [8]}"
107,"{0: [7], 1: [0, 1, 4, 5, 9], 2: [3], 3: [6], 4: [2, 8]}","{0: [0, 1, 5, 9], 1: [8], 2: [6], 3: [3], 4: [7], 5: [2]}"
108,"{0: [3], 1: [1, 4], 2: [5, 6, 8], 3: [2, 9], 4: [7]}","{0: [8], 1: [9], 2: [4], 3: [6], 4: [7], 5: [5]}"
109,"{0: [7], 1: [9], 2: [0, 4], 3: [5], 4: [6]}","{0: [7], 1: [4], 2: [8], 3: [5], 4: [0], 5: [6]}"
110,"{0: [6], 1: [1, 3], 2: [0, 4, 5, 9], 3: [8], 4: [2, 7]}","{0: [9], 1: [0], 2: [6], 3: [8], 4: [7], 5: [4]}"
111,"{0: [0, 4, 7], 1: [2, 5], 2: [3], 3: [1, 6], 4: [8, 9]}","{0: [2], 1: [8], 2: [0, 1, 9], 3: [6], 4: [7], 5: [4]}"
112,"{0: [8], 1: [1, 2, 3, 9], 2: [0], 3: [7], 4: [4]}","{0: [4], 1: [1], 2: [9], 3: [6], 4: [7], 5: [8]}"
113,"{0: [1, 5, 6], 1: [7], 2: [0, 2, 4], 3: [3, 9], 4: [8]}","{0: [7], 1: [9], 2: [2, 4], 3: [3, 8], 4: [1], 5: [0]}"
114,"{0: [0, 1, 2, 4], 1: [9], 2: [5], 3: [8], 4: [7]}","{0: [7], 1: [9], 2: [3], 3: [5], 4: [6], 5: [8]}"
115,"{0: [7], 1: [0, 4], 2: [8, 9], 3: [5], 4: [3, 6]}","{0: [4], 1: [9], 2: [8], 3: [0], 4: [6], 5: [1]}"
116,"{0: [1, 2], 1: [4, 8, 9], 2: [7], 3: [5, 6], 4: [3]}","{0: [1], 1: [3], 2: [5], 3: [2], 4: [7, 8], 5: [6, 9]}"
117,"{0: [2], 1: [4], 2: [0, 5, 9], 3: [6, 8], 4: [7]}","{0: [2], 1: [5], 2: [0], 3: [7, 8], 4: [9], 5: [4]}"
118,"{0: [8], 1: [6], 2: [3, 9], 3: [5], 4: [1, 2, 7]}","{0: [3], 1: [0, 5, 8], 2: [4], 3: [1, 2, 6], 4: [9], 5: [7]}"
119,"{0: [1, 4, 7], 1: [3], 2: [8], 3: [2, 5], 4: [9]}","{0: [8], 1: [0], 2: [7], 3: [6], 4: [9], 5: [4]}"
120,"{0: [1, 5], 1: [7, 9], 2: [0, 4, 6], 3: [8], 4: [2]}","{0: [0], 1: [9], 2: [3], 3: [4], 4: [6], 5: [8]}"
121,"{0: [0, 4], 1: [2, 5, 9], 2: [8], 3: [1, 7], 4: [6]}","{0: [7], 1: [3], 2: [0], 3: [8], 4: [6], 5: [1, 4, 9]}"
122,"{0: [5], 1: [4], 2: [7, 9], 3: [1, 8], 4: [3]}","{0: [9], 1: [0], 2: [5], 3: [7], 4: [6], 5: [4]}"
123,"{0: [0, 2, 6, 7], 1: [4], 2: [1, 5], 3: [9], 4: [3, 8]}","{0: [8], 1: [0], 2: [5], 3: [6], 4: [7], 5: [4]}"
124,"{0: [9], 1: [7], 2: [2, 5, 8], 3: [1, 3, 4], 4: [0, 6]}","{0: [1], 1: [0], 2: [3], 3: [6, 8], 4: [2, 5, 7], 5: [4, 9]}"
125,"{0: [0, 3, 4], 1: [2, 5], 2: [1], 3: [6, 9], 4: [7, 8]}","{0: [3], 1: [0], 2: [2, 5, 7], 3: [6, 9], 4: [4], 5: [8]}"
126,"{0: [3], 1: [7], 2: [0, 5, 6], 3: [4], 4: [8, 9]}","{0: [1], 1: [7], 2: [9], 3: [6], 4: [4], 5: [8]}"
127,"{0: [5], 1: [1, 2, 9], 2: [3, 4], 3: [0, 7, 8], 4: [6]}","{0: [9], 1: [0, 7, 8], 2: [3], 3: [6], 4: [4], 5: [5]}"
128,"{0: [7], 1: [2, 5], 2: [6], 3: [8], 4: [9]}","{0: [7], 1: [0], 2: [6], 3: [5], 4: [8], 5: [4]}"
129,"{0: [3, 6], 1: [2, 8], 2: [0, 5], 3: [4], 4: [7, 9]}","{0: [9], 1: [1], 2: [0, 4], 3: [5], 4: [7], 5: [8]}"
130,"{0: [6], 1: [3, 5, 8], 2: [2], 3: [4], 4: [7, 9]}","{0: [1, 3, 5, 7], 1: [2], 2: [0], 3: [4], 4: [8], 5: [9]}"
131,"{0: [2, 6], 1: [7], 2: [0, 5, 8], 3: [3], 4: [4]}","{0: [7], 1: [1], 2: [0], 3: [9], 4: [4], 5: [8]}"
